coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
LINK,1.553,50.7,100.0,2009,2.97,3
LINK,2.598,65.6,1.6,24,2.97,2
LINK,2.75,67.5,4.59,18,2.97,3
LINK,2.365,67.5,1.48,20,2.97,2
LINK,2.719,64.7,17.8,472,2.97,3
LINK,2.198,65.7,0.0,1,2.97,1
LINK,1.015,58.3,0.82,8,2.97,1
LINK,1.538,58.3,1.89,33,2.97,2
LINK,1.763,56.4,1.28,42,2.97,2
LINK,2.007,62.3,0.53,11,2.97,1
LINK,2.129,59.7,0.79,8,2.97,1
LINK,2.525,59.7,3.26,102,2.97,3
LINK,4.638,59.1,11.88,112,2.97,3
LINK,2.081,60.3,0.75,16,2.97,1
LINK,2.481,60.3,1.31,9,2.97,1
LINK,2.859,65.0,2.05,22,2.97,2
LINK,2.806,64.3,1.2,18,2.97,2
LINK,3.757,53.1,2.56,9,2.97,3
LINK,1.884,53.3,0.02,2,2.97,1
LINK,2.062,53.3,2.57,12,2.97,3
LINK,2.393,53.3,7.01,48,2.97,3
LINK,2.244,60.1,1.16,11,2.97,2
LINK,2.285,60.5,0.5,9,2.97,1
LINK,2.922,60.5,1.37,10,2.97,2
LINK,-0.146,37.4,2.61,3,2.97,2
LINK,-0.146,37.4,5.42,4,2.97,3
LINK,0.235,37.4,2.77,4,2.97,2
LINK,0.071,37.4,2.59,2,2.97,2
LINK,0.105,37.4,1.28,2,2.97,2
LINK,0.219,37.4,26.56,47,2.97,3
LINK,0.256,45.3,13.16,78,2.97,3
LINK,0.105,45.9,5.58,76,2.97,3
LINK,0.01,44.9,42.41,1314,2.97,3
LINK,2.218,61.2,1.13,6,2.97,1
LINK,2.547,61.2,11.86,82,2.97,3
LINK,2.308,59.9,8.7,167,2.97,3
LINK,2.126,62.7,1.17,3,2.97,1
LINK,2.693,63.1,5.69,7,2.97,2
LINK,2.286,63.1,3.15,14,2.97,3
LINK,2.065,66.0,1.92,13,2.97,2
LINK,2.484,66.0,2.01,18,2.97,2
LINK,2.552,72.7,0.9,3,2.97,1
LINK,2.869,72.7,2.42,19,2.97,3
LINK,2.607,63.4,1.48,4,2.97,2
LINK,0.373,51.8,1.3,13,2.97,2
LINK,0.705,51.8,1.03,20,2.97,2
LINK,0.805,56.7,1.43,13,2.97,2
LINK,1.372,50.9,1.74,12,2.97,2
LINK,1.36,50.9,0.0,1,2.97,1
LINK,1.549,50.9,1.41,15,2.97,1
LINK,1.704,54.4,18.78,391,2.97,3
LINK,0.919,53.9,2.84,10,2.97,3
LINK,0.726,53.7,2.35,32,2.97,2
LINK,0.888,50.2,40.91,366,2.97,3
LINK,0.66,62.5,0.62,2,2.97,1
LINK,1.118,62.5,0.0,1,2.97,1
LINK,1.275,62.5,13.12,34,2.97,3
LINK,1.039,72.3,2.93,17,2.97,2
LINK,1.254,63.9,0.0,1,2.97,1
LINK,2.027,63.9,0.0,1,2.97,1
LINK,1.908,63.9,0.0,1,2.97,1
LINK,2.335,63.9,5.21,6,2.97,3
LINK,2.216,59.6,3.84,17,2.97,3
LINK,1.752,59.6,1.58,3,2.97,2
LINK,1.698,59.6,9.63,12,2.97,3
LINK,1.505,67.1,6.29,24,2.97,3
LINK,1.499,60.1,0.89,4,2.97,1
LINK,1.965,60.1,1.24,3,2.97,1
LINK,2.185,60.1,1.0,2,2.97,1
LINK,2.635,53.2,30.13,120,2.97,3
LINK,2.038,66.4,0.0,1,2.97,1
LINK,2.003,66.4,1.07,2,2.97,2
LINK,1.957,66.4,0.0,1,2.97,1
LINK,2.151,66.4,1.42,4,2.97,2
LINK,2.813,60.3,19.84,40,2.97,3
LINK,2.745,65.7,3.49,10,2.97,3
LINK,2.687,65.7,0.0,1,2.97,1
