deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
176,ATOM/USDT,2025-11-29T00:00:00+00:00,2025-11-30T00:00:00+00:00,SHORT_DCA,1,3365.16,67.8035,2.01,24.0
177,ATOM/USDT,2025-12-01T00:00:00+00:00,2025-12-05T00:00:00+00:00,SHORT_DCA,2,5756.84,249.4309,4.33,96.0
178,ATOM/USDT,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00,SHORT_DCA,1,3468.7,86.7103,2.5,24.0
179,ATOM/USDT,2025-12-08T00:00:00+00:00,2025-12-11T00:00:00+00:00,SHORT_DCA,2,5943.4,227.1649,3.82,72.0
180,ATOM/USDT,2025-12-12T00:00:00+00:00,2025-12-14T00:00:00+00:00,SHORT_DCA,2,6069.3,145.7576,2.4,48.0
181,ATOM/USDT,2025-12-15T00:00:00+00:00,2025-12-16T00:00:00+00:00,SHORT_DCA,1,3616.17,85.5957,2.37,24.0
182,ATOM/USDT,2025-12-17T00:00:00+00:00,2025-12-18T00:00:00+00:00,SHORT_DCA,1,3643.16,156.8313,4.3,24.0
183,ATOM/USDT,2025-12-19T00:00:00+00:00,2025-12-29T00:00:00+00:00,SHORT_DCA,3,8091.79,194.7973,2.41,240.0
184,ATOM/USDT,2025-12-30T00:00:00+00:00,2025-12-31T00:00:00+00:00,SHORT_DCA,1,3756.36,68.0493,1.81,24.0
185,ATOM/USDT,2026-01-01T00:00:00+00:00,2026-01-29T00:00:00+00:00,SHORT_DCA,10,12236.16,483.0153,3.95,672.0
186,ATOM/USDT,2026-01-30T00:00:00+00:00,2026-01-31T00:00:00+00:00,SHORT_DCA,1,3935.49,229.8526,5.84,24.0
187,ATOM/USDT,2026-02-01T00:00:00+00:00,2026-02-03T00:00:00+00:00,SHORT_DCA,3,8791.34,-341.3779,-3.88,48.0
188,ATOM/USDT,2026-02-04T00:00:00+00:00,2026-02-06T00:00:00+00:00,LONG_DCA,2,6650.23,237.2209,3.57,48.0
189,ATOM/USDT,2026-02-07T00:00:00+00:00,2026-02-13T00:00:00+00:00,LONG_DCA,2,6771.21,556.4681,8.22,144.0
190,ATOM/USDT,2026-02-14T00:00:00+00:00,2026-02-16T00:00:00+00:00,LONG_DCA,2,7055.01,411.9398,5.84,48.0
191,ATOM/USDT,2026-02-17T00:00:00+00:00,2026-02-18T00:00:00+00:00,LONG_DCA,1,4273.59,198.2395,4.64,24.0
192,ATOM/USDT,2026-02-19T00:00:00+00:00,2026-02-20T00:00:00+00:00,LONG_DCA,1,4333.06,124.7739,2.88,24.0
194,LINK/USDC,2024-10-01T00:00:00+00:00,2024-10-04T00:00:00+00:00,LONG_DCA,2,1275.0,25.4532,2.0,72.0
